,Source,GUID,LastName,MiddleName,FirstName,Street,City,State,Zip,Phone,ID-DOC
10175,CCCR,CCCR-002ff8af-291c-4d15-a5f5-6035cf7428cb,Goold,Olo,Sm\xc3\xa9agol,217 Mount Street,Saginaw,MI,48607.0,,4.53916743904e+15
10198,CCCR,CCCR-003323ff-a423-45a2-a65b-81dc1efec7c4,Gammidge,Asphodel,Merimas,2274 Radio Park Drive,Atlanta,GA,30303.0,,4.53210234581e+15
9758,CCCR,CCCR-02d9a434-b9c6-468c-935e-64435872f1a0,Bunce,Gorbadoc,Robinia,541 Briarwood Drive,Laurel Springs,NJ,8021.0,,4.91606020772e+15
22897,CCCR,CCCR-02f46b07-99ad-4449-8b29-ce8d15755f0e,Burrows,Ranugad,Alfrida,2070 Pallet Street,New York,NY,10013.0,9143161051,5.57032115499e+15
400,CCCR,CCCR-032aee94-a026-4c3b-86e9-4c12b572fc1e,Boffin,Daisy,Rosamunda,1262 Leo Street,Denver,CO,80202.0,,4.48508155314e+15
6180,CCCR,CCCR-03417648-a2b0-4b6f-81cc-f7ca4f2d16e7,Hogpen,Harding,Sadoc,2904 Mcwhorter Road,Jackson,MS,39201.0,,5.5456789049e+15
15453,CCCR,CCCR-041b05c6-52ae-4877-ab0e-fbcc91eb79de,Sackville-Baggins,Ruby,Wiseman,2196 Cambridge Court,Fort Smith,AR,72901.0,4797691393,5.24517795261e+15
17462,CCCR,CCCR-04bd7f8d-fcaa-405c-80ca-5025531b3275,Bolger-Baggins,Poppy,Mat,3698 Flint Street,Atlanta,GA,30303.0,6782731304,5.11085567017e+15
9495,CCCR,CCCR-04de4f3a-9f86-456b-b767-414b51ce4d46,Noakes,Cara,Pearl,858 Hewes Avenue,Baltimore,MD,21201.0,,4.92969051146e+15
19996,CCCR,CCCR-063cc71a-46e4-47ec-8925-52e6f3eb63b1,Lightfoot,Jo,Hildifons,3298 Rosewood Lane,New York,NY,10025.0,2129616207,5.49902108508e+15
26964,CCCR,CCCR-06e930dd-da55-43b8-a65d-d1d5d29d3938,Took-Took,Lalia,Dina,3971 My Drive,New York,NY,10013.0,3472495220,5.21912210962e+15
